year_month,PM25,PM10,NO_2,O_3,SO_2,categoria_PM25,categoria_PM10,categoria_NO_2,categoria_O_3,categoria_SO_2,Calidad_Aire_General
2001-01,,29.483589893234114,57.06044315623686,19.503658147719854,24.9997255715102,5,2,2,1,1,Muy Malo
2001-02,,37.24260448316666,64.68585222304493,20.52499741121317,29.10700356756415,5,2,2,1,1,Muy Malo
2001-03,,25.040909095976975,49.46773344773321,29.01120476767623,18.514022981898385,5,2,1,1,1,Muy Malo
2001-04,,25.705201393610025,53.116105128965906,40.434246122904085,15.14661997284735,5,2,2,1,1,Muy Malo
2001-05,,28.8195090230397,64.06987043818961,41.04291035075764,14.720222760198443,5,2,2,1,1,Muy Malo
2001-06,,39.14604029862425,67.47830922438213,46.03370633310303,15.20781386395211,5,2,2,1,1,Muy Malo
2001-07,,36.23575185730143,61.66838635192743,47.15102296464206,11.965867290489394,5,2,2,1,1,Muy Malo
2001-08,,38.682466946062725,55.70993048342066,47.08908968878762,10.264759830966529,5,2,2,1,1,Muy Malo
2001-09,,36.81539009118383,65.25510826272615,38.86368761126596,11.570331707671354,5,2,2,1,1,Muy Malo
2001-10,,32.315528203999556,59.14796829434122,22.1818421862531,12.80093768627493,5,2,2,1,1,Muy Malo
2001-11,,35.00217320205876,68.71013239343739,19.464566540177096,25.4746849860753,5,2,2,1,1,Muy Malo
2001-12,,51.58456437073336,88.81537710889413,9.363157608049661,31.391827705113645,5,3,2,1,1,Muy Malo
2002-01,,36.57827133220875,73.92977537920804,11.365121003474755,24.109524447047452,5,2,2,1,1,Muy Malo
2002-02,,37.55615352458675,69.75200322660156,19.12556257212016,21.055780973471546,5,2,2,1,1,Muy Malo
2002-03,,31.51698002970839,65.42867294254653,31.325296440857354,15.043368236797846,5,2,2,1,1,Muy Malo
2002-04,,32.2874956570077,68.94107849518718,42.82673934491123,11.831150868030281,5,2,2,1,1,Muy Malo
2002-05,,25.939574073083403,53.06190873785293,45.1898834136843,8.903488510095599,5,2,2,1,1,Muy Malo
2002-06,,43.609613206271256,56.85424519932027,48.6366189974033,8.302695712052357,5,2,2,1,1,Muy Malo
2002-07,,38.39268073119961,55.779088764807454,52.09505109200659,7.945205449497667,5,2,2,1,1,Muy Malo
2002-08,,34.03850637312395,52.53226771755603,50.50837905277917,7.65404310564757,5,2,2,1,1,Muy Malo
2002-09,,34.23491777244292,64.19336598697237,34.376796370286364,9.454568383915221,5,2,2,1,1,Muy Malo
2002-10,,30.74149142951078,62.655914570835264,22.053402036536667,10.89143448912611,5,2,2,1,1,Muy Malo
2002-11,,27.51777689513056,60.828751571137374,18.709004728441148,14.51922953941219,5,2,2,1,1,Muy Malo
2002-12,,27.415324758864294,56.84730738500578,17.611916038102347,17.27124172265394,5,2,2,1,1,Muy Malo
2003-01,,27.47975192432792,59.962838587879084,22.20191551302189,17.93029014989466,5,2,2,1,1,Muy Malo
2003-02,,26.9290058397701,60.64101882647054,22.76294635394957,16.832608560683475,5,2,2,1,1,Muy Malo
2003-03,,40.42720930234368,62.33008499520769,32.503108918549785,14.513281849353667,5,2,2,1,1,Muy Malo
2003-04,,28.100451653880576,51.28941451416516,45.92351848047035,10.207358093405121,5,2,2,1,1,Muy Malo
2003-05,,33.823664872269276,53.89912059583363,49.06108048812391,9.12396898963577,5,2,2,1,1,Muy Malo
